Feature,Importance
campaign_size,3.73531771835421
unique_user_cnt,4.3765447653980045
avg_domain_read_rate,22.14144706315565
avg_domain_inbox_rate,10.77883695340856
avg_user_avg_read_rate,14.250963747003073
avg_user_domain_avg_read_rate,100.0
mb_superuser,3.4387526413925897
mb_engper,2.0914899542311396
mb_supersub,1.8719902273871714
mb_engsec,1.186696666671374
mb_inper,1.2524843511248112
mb_insec,6.116090954890605
mb_unengsec,1.9294759607201035
mb_idlesub,0.13411518662391358
Fri,0.1567569272981342
Mon,0.19176012756305497
Sat,0.12767535323873375
Sun,0.1756684564123438
Thurs,0.17719162209391853
Tues,0.08099258231339446
Wed,0.2291073050153642
DE_au,0.0801226858651794
DE_com,0.20075096801713033
DE_edu,0.06326039717773574
DE_email,0.0
DE_gov,0.0
DE_info,0.05938333347601905
DE_mx,0.0
DE_org,0.07140825374465702
DE_other,0.12623662764568377
DE_uk,0.06523439014432802
FDH_21f9e3c73417dc05c54aff76f74a9a68,0.0
FDH_50cd1a9a183758039b0841aa738c3f0b,0.6629330473708733
FDH_636ae4d78ec2b46248fc59ac1ad737df,0.0
FDH_6fd3469028bce958da6d575e521235d5,0.0
FDH_994d7742b95a156e7d9d870376a52784,0.0
FDH_a8ffaf142026e1b237e46bf60c855411,0.0
FDH_c54e4e5635912ef26f54b51cd9a13fa6,0.0
FDH_d30663cb0bed60805ad3ae4ebbad217b,0.0
FDH_f74d39fa044aa309eaea14b9f57fe79c,0.12319337186126686
FDH_other,1.2596070238982164
